i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	link
3737	3737	1BvR1423/07	19.07.2007	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/07/rk20070719_1bvr142307.html;jsessionid=AFF441CD987097FBF104B83B675568EC.2_cid392
3738	3738	2BvR1873/04	15.12.2004	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/12/rk20041215_2bvr187304.html;jsessionid=CFB7D60622B327B6967FDF1E553423B9.2_cid383
3739	3739	1BvQ19/04	23.06.2004	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/06/qs20040623_1bvq001904.html;jsessionid=779FAF1F8DDFA687108CAB5B39EB832F.2_cid393
3740	3740	1BvQ10/99	20.07.1999	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/07/qk19990720_1bvq001099.html;jsessionid=E094AF042ADE9E9B898A0B2571270202.2_cid361
3741	3741	2BvR221/15	09.04.2015	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/04/rk20150409_2bvr022115.html;jsessionid=3624D6FB5F6354705FF6630AC3CB6901.2_cid394
3742	3742	1BvR2098/01	04.03.2004	1	1	1	 den Präsidenten Papier die Richterin Haas den Richter Hoffmann-Riem  	Papier, Haas, Hoffmann-Riem	Papier, Haas, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/03/rk20040304_1bvr209801.html;jsessionid=DCDDC4801AA81DD5B61D5B6250672406.2_cid361
3743	3743	2BvR923/12	23.01.2014	2	3	3	 die Richterin Lübbe-Wolff den Richter Landau die Richterin Kessal-Wulf  	Lübbe-Wolff, Landau, Kessal-Wulf	Lübbe-Wolff, Landau, Kessal-Wulf	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/01/rk20140123_2bvr092312.html;jsessionid=6B1E842AAD4171DB464C4CAB7DAD1D73.2_cid393
3744	3744	2BvR2392/07	07.05.2008	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/05/rk20080507_2bvr239207.html;jsessionid=BEE84988AAEC4884ACE284D5134441E8.2_cid383
3745	3745	1BvR2/01	01.12.2005	1	1	NA	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/12/rk20051201_1bvr000201.html;jsessionid=8FA557F2EC25FBFA069E21B2FC558BC5.2_cid394
3746	3746	1BvR2223/14	04.08.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/08/rk20150804_1bvr222314.html;jsessionid=2AA3FA5A27A35598D950C93F1A98E89C.2_cid383
3747	3747	2BvR813/99	24.11.2000	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Broß  	Limbach, Hassemer, Broß	Limbach, Hassemer, Broß	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/11/rk20001124_2bvr081399.html;jsessionid=89825C1B082505C9F507F7EA0EDC118B.2_cid361
3748	3748	2BvL3/00	12.02.2003	2	NA	NA	 Vizepräsident Hassemer Sommer Jentsch Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff  	Hassemer, Sommer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff	Hassemer, Sommer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/ls20030212_2bvl000300.html;jsessionid=399D11A88B06EFC600FFA5833CBA2E1A.2_cid394
3749	3749	1BvL9/96	30.11.1999	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/11/lk19991130_1bvl000996.html;jsessionid=FBD302FA0DE2E71A27140BE13F544A42.2_cid393
3750	3750	2BvR575/05	08.02.2006	2	1	NA	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/02/rk20060208_2bvr057505.html;jsessionid=4BBD583ED58E82460B3102898C0A9078.2_cid392
3751	3751	2BvR159/97	04.05.1998	2	1	1	 Richter Winter Sommer Hassemer  	Winter, Sommer, Hassemer	Winter, Sommer, Hassemer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/05/rk19980504_2bvr015997.html;jsessionid=4B792D7337A0DD8C1E8C8F743C91F467.2_cid370
3752	3752	2BvR2049/13	22.01.2015	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/01/rk20150122_2bvr204913.html;jsessionid=8A828C21CDD85343327C0053F82E91E2.2_cid361
3753	3753	1BvR2658/10	26.04.2011	1	3	3	 den Vizepräsidenten Kirchhof die Richterinnen Baer Britz  	Kirchhof, Baer, Britz	Kirchhof, Baer, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110426_1bvr265810.html;jsessionid=B90036CC1DF4004E54AECFF2307C4278.2_cid383
3754	3754	1BvR1265/96	13.03.2001	1	1	NA	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/03/rk20010313_1bvr126596.html;jsessionid=C6829B6A6CC333BD1DA833AD618C7A32.2_cid392
3755	3755	1BvR3275/07	31.08.2009	1	1	1	 den Präsidenten Papier die Richter Eichberger Masing  	Papier, Eichberger, Masing	Papier, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/08/rk20090831_1bvr327507.html;jsessionid=5159313913D162C5D840340CE6295523.2_cid393
3756	3756	1BvR192/03	05.02.2003	1	1	1	 den Präsidenten Papier die Richterin Haas den Richter Hoffmann-Riem  	Papier, Haas, Hoffmann-Riem	Papier, Haas, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/rk20030205_1bvr019203.html;jsessionid=87292BE6A909200736E7005632BF5A6F.2_cid392
3757	3757	1BvR603/04	28.06.2004	1	3	NA	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/06/rk20040628_1bvr060304.html;jsessionid=779FAF1F8DDFA687108CAB5B39EB832F.2_cid393
3758	3758	1BvR1911/06	04.09.2006	1	3	NA	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/09/rk20060904_1bvr191106.html;jsessionid=6DE55F6CB9BFCB6C3732C6040FF5BB50.2_cid394
3759	3759	1BvR1644/00	11.09.2001	1	1	NA	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/09/rk20010911_1bvr164400.html;jsessionid=BFF0A24ED1F9AE41C4724361FE06A327.2_cid361
3760	3760	1BvR1503/02	08.10.2002	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/10/rk20021008_1bvr150302.html;jsessionid=1B78F163C31C80666279B69EEA44AC72.2_cid394
3761	3761	2BvR2309/09	29.12.2009	2	3	3	 den Vizepräsidenten Voßkuhle den Richter Mellinghoff die Richterin Lübbe-Wolff  	Voßkuhle, Mellinghoff, Lübbe-Wolff	Voßkuhle, Mellinghoff, Lübbe-Wolff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/12/rk20091229_2bvr230909.html;jsessionid=F052BB13B98AE9C94B38A513D4A830A8.2_cid361
3762	3762	1BvR2553/11	25.06.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/06/rk20150625_1bvr255311.html;jsessionid=DA70AD290D674F783C6965D8EE7EB448.2_cid394
3763	3763	1BvR470/09	30.06.2009	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/06/rk20090630_1bvr047009.html;jsessionid=CE09042F268F546676D59170288C920C.2_cid392
3764	3764	2BvR668/01	14.12.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/12/rk20011214_2bvr066801.html;jsessionid=DD0D3CB5C4C3A97B8A80DA6F13E88791.2_cid392
3765	3765	2BvQ23/07	09.07.2007	2	1	NA	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/07/qk20070709_2bvq002307.html;jsessionid=476ADAF12C04A6D461F2C275B8216CAF.2_cid361
3766	3766	1BvR580/02	07.11.2002	1	1	1	 den Präsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/11/rk20021107_1bvr058002.html;jsessionid=CEFFACB0261CA331565E78B26A4917B0.2_cid394
3767	3767	2BvR2782/10	24.09.2014	2	1	1	 den Präsidenten Voßkuhle den Richter Landau die Richterin Hermanns  	Voßkuhle, Landau, Hermanns	Voßkuhle, Landau, Hermanns	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/09/rk20140924_2bvr278210.html;jsessionid=903CC26005153EF3909C3CE2F25269A9.2_cid393
3768	3768	2BvR2457/13	25.02.2014	2	2	2	 den Richter Gerhardt die Richterin Hermanns den Richter Müller  	Gerhardt, Hermanns, Müller	Gerhardt, Hermanns, Müller	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/02/rk20140225_2bvr245713.html;jsessionid=A2D4B8141EA458FED5ED9401EB42D9DF.2_cid394
3769	3769	2BvR1349/01	14.08.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Jentsch Hassemer  	Limbach, Jentsch, Hassemer	Limbach, Jentsch, Hassemer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/08/rk20010814_2bvr134901.html;jsessionid=1A5C7763B55372D9DB010EBEA075CD89.2_cid361
3770	3770	1BvR1231/041BvR710/051BvR1184/08	24.09.2009	1	1	1	 den Präsidenten Papier die Richter Eichberger Masing  	Papier, Eichberger, Masing	Papier, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/09/rk20090924_1bvr123104.html;jsessionid=8B5581214659EF794EBD0B6739C1EFAA.2_cid393
3771	3771	1BvR780/09	17.05.2011	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/05/rk20110517_1bvr078009.html;jsessionid=F3EA4AD874BACC1228B0D5C9EDCAEA62.2_cid394
3772	3772	2BvR1516/08	26.08.2008	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Gerhardt  	Mellinghoff, Lübbe-Wolff, Gerhardt	Mellinghoff, Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/08/rk20080826_2bvr151608.html;jsessionid=E39EF4C2D8EA6E5707E05FAAFD52A116.2_cid370
3773	3773	2BvR2428/04	27.06.2005	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/06/rk20050627_2bvr242804.html;jsessionid=749817AB5DA48D5C4F9367E367B1AF0F.2_cid383
3774	3774	2BvR1838/98	12.11.1998	2	1	1	 Richter Sommer Broß die Richterin Osterloh  	Sommer, Broß, Osterloh	Osterloh, Sommer, Broß	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/11/rk19981112_2bvr183898.html;jsessionid=080D6BDF486E984FB41071EFB67493B1.2_cid370
3775	3775	2BvR1286/012BvR1371/01	13.09.2001	2	1	1	 Sommer Broß Mellinghoff  	Sommer, Broß, Mellinghoff	Sommer, Broß, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/09/rk20010913_2bvr128601.html;jsessionid=1F7F65780DFBA22CEEDFCBFEFFD0FC9E.2_cid392
3776	3776	2BvB1/012BvB2/012BvB3/01	01.10.2001	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio Mellinghoff  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/bs20011001_2bvb000101.html;jsessionid=2C8251C6C9294F396172D91A2D32449A.2_cid383
3777	3777	1BvR1190/901BvR2173/931BvR433/96	24.10.2001	1	NA	NA	 des Vizepräsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, , Haas, , Jaeger, , Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/rs20011024_1bvr119090.html;jsessionid=C78B22FD98C082B13D1F684715664C54.2_cid383
3778	3778	1BvR3269/07	19.05.2008	1	1	1	 den Präsidenten Papier die Richter Eichberger Masing  	Papier, Eichberger, Masing	Papier, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/05/rk20080519_1bvr326907.html;jsessionid=BEE84988AAEC4884ACE284D5134441E8.2_cid383
3779	3779	1BvL13/99	31.07.2001	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/lk20010731_1bvl001399.html;jsessionid=B18087CB825D0EE7CC53E3AD29240D61.2_cid370
3780	3780	2BvL1/97	None	NA	NA	NA	 	No names in the text	Limbach, Sommer, Jentsch, Hasseme, Broß, Osterloh, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/2000/06/ls20000607_2bvl000197en.html;jsessionid=187FC702D8B1B78231535899C998ECBE.2_cid393
3781	3781	1BvR1653/99	08.03.2001	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/03/rk20010308_1bvr165399.html;jsessionid=C6829B6A6CC333BD1DA833AD618C7A32.2_cid392
3782	3782	2BvR475/09	07.05.2009	2	1	1	 die Richterin Osterloh die Richter Mellinghoff Gerhardt  	Osterloh, Mellinghoff, Gerhardt	Osterloh, Mellinghoff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/05/rk20090507_2bvr047509.html;jsessionid=AB31DB85DDC0F477CD979CA6A631A530.2_cid383
3783	3783	1BvR2523/08	07.01.2009	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/01/rk20090107_1bvr252308.html;jsessionid=3CCFD123798037D5F81FBD0475D8B693.2_cid383
3784	3784	2BvR495/08	01.08.2008	2	1	1	 den Vizepräsidenten Voßkuhle die Richterin Osterloh den Richter Mellinghoff  	Voßkuhle, Osterloh, Mellinghoff	Voßkuhle, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/08/rk20080801_2bvr049508.html;jsessionid=D3621814E7B335009791AACA3869AAAF.2_cid383
3785	3785	1BvR348/981BvR755/98	25.11.1999	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/11/rk19991125_1bvr034898.html;jsessionid=FBD302FA0DE2E71A27140BE13F544A42.2_cid393
3786	3786	1BvR2118/10	17.11.2010	1	3	3	 den Vizepräsidenten Kirchhof die Richter Bryde Schluckebier  	Kirchhof, Bryde, Schluckebier	Kirchhof, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/11/rk20101117_1bvr211810.html;jsessionid=7A537DC5288CA2F3022010FB4005188E.2_cid361
3787	3787	2BvR1032/99	02.02.2000	2	1	1	 Richter Sommer Broß die Richterin Osterloh  	Sommer, Broß, Osterloh	Sommer, Broß, Osterloh	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/02/rk20000202_2bvr103299.html;jsessionid=FF53787F0D77E4D359F94C6548242F78.2_cid370
3788	3788	1BvR134/16	18.02.2016	1	2	2	 die Richter Gaier   Schluckebier   Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/02/rk20160218_1bvr013416.html;jsessionid=9F1C2A724B210D4842B8F60EA0166357.2_cid392
3789	3789	1BvR2246/11	17.06.2013	1	3	3	 den Vizepräsidenten Kirchhof den Richter Masing die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/06/rk20130617_1bvr224611.html;jsessionid=6DD76C26CDA3A72678EA1754E605B817.2_cid394
3790	3790	1BvR2066/98	15.08.2001	1	NA	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/08/rk20010815_1bvr206698.html;jsessionid=A3A45206CD447D2B760C06E246207FAF.2_cid370
3791	3791	2BvR1501/96	03.12.2000	2	4	4	 die Richterin Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/12/rk20001203_2bvr150196.html;jsessionid=748DFA66379F51BDFAE404164C600C14.2_cid392
3792	3792	2BvR1321/07	04.09.2008	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/09/rk20080904_2bvr132107.html;jsessionid=D2F8848DBD6184AE8322B469D72CCA0C.2_cid394
3793	3793	2BvR1940/10	16.04.2012	2	3	3	 die Richterin Lübbe-Wolff den Richter Huber die Richterin Kessal-Wulf  	Lübbe-Wolff, Huber, Kessal-Wulf	Lübbe-Wolff, Huber, Kessal-Wulf	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/04/rk20120416_2bvr194010.html;jsessionid=2F21385028B92F6A3B7F690C44A88C8A.2_cid361
3794	3794	1BvR299/10	14.04.2010	1	3	3	 den Vizepräsidenten Kirchhof die Richter Bryde Schluckebier  	Kirchhof, Bryde, Schluckebier	Kirchhof, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/04/rk20100414_1bvr029910.html;jsessionid=C663D721645D00EE8293E3FBEB3660F3.2_cid392
3795	3795	1BvR150/981BvR151/98	13.04.2000	1	1	1	 Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/04/rk20000413_1bvr015098.html;jsessionid=3B0E612C7AB66A190BA8A353BB8437A6.2_cid392
3796	3796	2BvR67/15	01.06.2015	2	2	2	 den Richter Landau   die Richterinnen Kessal-Wulf   König  	Landau, Kessal-Wulf, König	Landau, Kessal-Wulf, König	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/06/rk20150601_2bvr006715.html;jsessionid=92A949750BCDD9329CE36A79BD02D248.2_cid394
3797	3797	2BvR160/08	11.02.2008	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/02/rk20080211_2bvr016008.html;jsessionid=FC121F331C8016A647EEBBD3047C309C.2_cid383
3798	3798	2BvR2236/04	27.04.2006	2	NA	NA	 Vizepräsident Hassemer Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau  	Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	Hassemer, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/04/rs20060427_2bvr223604.html;jsessionid=509A5631E1AB873511A5D5EE9AB44D75.2_cid394
3799	3799	2BvR1418/05	30.11.2006	2	2	2	 den Richter Broß die Richterin Lübbe-Wolff den Richter Gerhardt  	Broß, Lübbe-Wolff, Gerhardt	Broß, Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/11/rk20061130_2bvr141805.html;jsessionid=E7E3FDB3ADF4B5024811AF8DA3157A18.2_cid392
3800	3800	2BvR285/16	02.03.2016	2	2	2	 den Richter Landau   die Richterinnen Kessal-Wulf   König  	Landau, Kessal-Wulf, König	Landau, Kessal-Wulf, König	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/03/rk20160302_2bvr028516.html;jsessionid=6C990C95823B12706064CC4FA81400E9.2_cid383
3801	3801	1BvR347/08	15.12.2008	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/12/rk20081215_1bvr034708.html;jsessionid=268DF36053F5BD60025805690B0B4CF6.2_cid392
3802	3802	1BvL3/07	30.11.2010	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Paulus  	Hohmann-Dennhardt, Gaier, Paulus	Hohmann-Dennhardt, Gaier, Paulus	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/11/lk20101130_1bvl000307.html;jsessionid=2F6AF355F2566CA6A29CC43926CC2780.2_cid392
3803	3803	2BvR1710/10	11.10.2010	2	1	1	 die Richterin Osterloh die Richter Mellinghoff Gerhardt  	Osterloh, Mellinghoff, Gerhardt	Osterloh, Mellinghoff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/10/rk20101011_2bvr171010.html;jsessionid=D3158D0C52B75003659D6C69D1A7128C.2_cid394
3804	3804	2BvE5/12	02.06.2015	2	NA	NA	 Präsident Voßkuhle   Landau   Huber   Hermanns   Müller   Kessal-Wulf   König   Maidowski  	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/06/es20150602_2bve000512.html;jsessionid=92A949750BCDD9329CE36A79BD02D248.2_cid394
3805	3805	1BvR2455/08	18.11.2009	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/11/rk20091118_1bvr245508.html;jsessionid=45FCF6CB873E3CE7A22EC5619FF9DEF0.2_cid393
3806	3806	1BvR2883/11	29.02.2012	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/02/rk20120229_1bvr288311.html;jsessionid=3B99F1E191FB0B1F053D4C53EE380026.2_cid394
